pdb_id,smiles,affinity,stability_score,energy
3vd4,CC(C)S[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,4.52,78.6,-75.01
3vh9,Oc1cccc2cccnc12,9.65,86.1,-153.37
3zso,C=CC[N@H+](Cc1ccccc1C(=O)NC(c1ccc(OC)cc1)c1ccc(OC)cc1)Cc1ccc2c(c1C(=O)[O-])OCO2,10.79,90.7,-164.58
3zsx,C=CC[N@H+](Cc1ccccc1C(=O)NCc1ccccc1)Cc1ccc2c(c1C(=O)[O-])OCO2,3.37,46.6,-49.93
4de1,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1ccc2n[nH]cc2c1,7.03,43.3,-104.47
4de2,C[NH+](C)Cc1cccc(C(=O)Nc2cccc(-c3nn[nH]n3)c2)c1,2.21,97.9,-31.32
4des,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,8.92,94.4,-138.88
4dew,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,6.29,43.4,-99.2
4djr,CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H]1CCC(=O)N1)S(=O)(=O)c1ccc2ncsc2c1,6.67,41.8,-106.62
4djv,COc1cccc(-c2cccc([C@@]3(c4ccccc4)NC(=[NH2+])N(C)C3=O)c2)c1,9.24,41.7,-139.32
4g8m,[NH3+][C@H](C(=O)[O-])[C@@H]1CC[C@@H]1C(=O)[O-],8.0,46.6,-121.06
4gid,CC(C)CNC(=O)[C@@H]([NH2+]C[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1)[C@@H](C)O,8.66,75.6,-129.96
4gqq,CCOC(=O)/C=C/c1ccc(O)c(O)c1,2.03,69.6,-35.37
4tmn,CC(C)C[C@H](N[P@](=O)([O-])[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)[O-],10.73,68.2,-162.97
